Time            ,Cm                ,Cd                ,Cl                
250.0318396,1.2397102078E-08,0.038217061893,-2.6482427526E-07
250.0322327,1.2095068514E-08,0.038209529535,-2.6495144928E-07
250.0326258,1.2327059704E-08,0.038202063645,-2.6413067936E-07
250.0330189,1.2372452757E-08,0.038194663074,-2.6361477258E-07
250.0334119,1.2244964346E-08,0.038187326695,-2.6342421164E-07
250.033805,1.2117938675E-08,0.038180053424,-2.6319966189E-07
250.0341981,1.2046797002E-08,0.038172842198,-2.628388895E-07
250.0345912,1.2149503087E-08,0.038165691971,-2.6223393909E-07
250.0349843,1.1270528338E-08,0.038158601744,-2.6327867586E-07
250.0353774,1.243247277E-08,0.038151570528,-2.6076498818E-07
250.0357704,1.0847681173E-08,0.038144597364,-2.6304674112E-07
250.0361635,1.081621085E-08,0.038137681316,-2.6260348049E-07
250.0365566,1.1709840708E-08,0.038130821468,-2.6052684361E-07
250.0369497,9.6692447795E-09,0.038124016935,-2.6356872121E-07
250.0373428,1.1080186174E-08,0.038117266838,-2.6059390341E-07
250.0377358,9.7027147708E-09,0.03811057034,-2.6246751844E-07
250.0381289,9.1072622988E-09,0.038103926598,-2.6298672766E-07
250.038522,9.7577052949E-09,0.038097334813,-2.6131159038E-07
250.0389151,8.6374701004E-09,0.038090794192,-2.6272485905E-07
250.0393082,8.1090599191E-09,0.03808430396,-2.631078192E-07
250.0397013,8.2678304502E-09,0.038077863364,-2.6226974564E-07
250.0400943,7.5510546264E-09,0.03807147167,-2.6296407968E-07
250.0404874,6.6101868695E-09,0.038065128141,-2.6407067963E-07
250.0408805,7.2668421858E-09,0.038058832091,-2.6235385134E-07
250.0412736,5.3006287743E-09,0.038052582826,-2.6521622099E-07
250.0416667,5.8460088258E-09,0.038046379654,-2.6371717866E-07
250.0420597,5.5231412664E-09,0.038040221939,-2.6370777895E-07
250.0424528,3.7754048556E-09,0.038034109022,-2.6620132446E-07
250.0428459,4.5902614412E-09,0.038028040282,-2.6419032391E-07
250.043239,3.1081418609E-09,0.038022015076,-2.6622958767E-07
250.0436321,2.8945801261E-09,0.038016032829,-2.6602848965E-07
250.0440252,2.6541943851E-09,0.038010092935,-2.658727911E-07
250.0444182,1.4871245083E-09,0.038004194803,-2.6735351499E-07
250.0448113,1.2915586543E-09,0.03799833788,-2.6712221945E-07
250.0452044,6.8630072661E-10,0.037992521606,-2.6761879558E-07
250.0455975,-1.2465616784E-11,0.037986745432,-2.6826306028E-07
250.0459906,-4.8977400318E-10,0.037981008832,-2.6853371467E-07
250.0463836,-1.0605857492E-09,0.037975311261,-2.6898675699E-07
250.0467767,-1.7629730256E-09,0.037969652229,-2.6963443525E-07
250.0471698,-2.2157692192E-09,0.037964031224,-2.6987336954E-07
250.0475629,-2.8423886222E-09,0.037958447761,-2.7040272664E-07
250.047956,-3.5114254551E-09,0.037952901327,-2.7104291727E-07
250.0483491,-3.9819273067E-09,0.037947391483,-2.7128288052E-07
250.0487421,-4.6609712428E-09,0.037941917747,-2.7194622529E-07
250.0491352,-5.1866831917E-09,0.037936479666,-2.7229909044E-07
250.0495283,-5.7575857586E-09,0.0379310768,-2.7277295499E-07
250.0499214,-6.3937913864E-09,0.03792570868,-2.733217065E-07
250.0503145,-6.9143982204E-09,0.037920374922,-2.7372623776E-07
250.0507075,-7.5417004803E-09,0.037915075051,-2.7426136932E-07
250.0511006,-8.0611767911E-09,0.037909808696,-2.7465516288E-07
250.0514937,-8.676626861E-09,0.037904575427,-2.7520245019E-07
250.0518868,-9.1740817547E-09,0.03789937485,-2.7556189799E-07
250.0522799,-9.78348655E-09,0.03789420658,-2.7609436376E-07
250.052673,-1.0278089625E-08,0.037889070212,-2.7646598901E-07
250.053066,-1.0792800978E-08,0.037883965368,-2.7683430892E-07
250.0534591,-1.1521176972E-08,0.0378788917,-2.7762722169E-07
250.0538522,-1.183906662E-08,0.037873848825,-2.7766199479E-07
250.0542453,-1.2342845252E-08,0.037868836386,-2.7806383485E-07
250.0546384,-1.3180031298E-08,0.037863854032,-2.7903148299E-07
250.0550314,-1.3213926202E-08,0.037858901417,-2.7860577429E-07
250.0554245,-1.4138531202E-08,0.037853978198,-2.7973919301E-07
250.0558176,-1.440480271E-08,0.037849084052,-2.79743719E-07
250.0562107,-1.4779075539E-08,0.037844218616,-2.79908337E-07
250.0566038,-1.5586703819E-08,0.037839381607,-2.8086448598E-07
250.0569969,-1.5770265244E-08,0.037834572685,-2.8071920987E-07
250.0573899,-1.642076823E-08,0.037829791545,-2.8140727015E-07
250.057783,-1.6691820243E-08,0.037825037875,-2.8141758467E-07
250.0581761,-1.7426188146E-08,0.037820311376,-2.8226985354E-07
250.0585692,-1.7184403898E-08,0.037815611748,-2.8138887752E-07
250.0589623,-1.8382207776E-08,0.037810938711,-2.8306916258E-07
250.0593553,-1.8563396098E-08,0.037806291872,-2.8268243563E-07
250.0597484,-1.8259341199E-08,0.037801671202,-2.8199649034E-07
250.0601415,-2.013212903E-08,0.03779707619,-2.848313144E-07
250.0605346,-1.8687662409E-08,0.037792506632,-2.8188506208E-07
250.0609277,-2.0292361352E-08,0.03778796219,-2.8404664697E-07
250.0613208,-2.0880738533E-08,0.037783442826,-2.8491654208E-07
250.0617138,-1.9821874015E-08,0.037778948025,-2.8264070128E-07
250.0621069,-2.1733195134E-08,0.037774477645,-2.8559974749E-07
250.0625,-2.1153604973E-08,0.037770031412,-2.8419057853E-07
250.0628931,-2.1475422168E-08,0.037765609011,-2.8410913259E-07
250.0632862,-2.2116016579E-08,0.03776121034,-2.8486701741E-07
250.0636792,-2.2199746857E-08,0.037756835098,-2.8463795839E-07
250.0640723,-2.2046378677E-08,0.037752482995,-2.839605426E-07
250.0644654,-2.3577088561E-08,0.037748153881,-2.8629929997E-07
250.0648585,-2.2559812452E-08,0.03774384747,-2.8415257645E-07
250.0652516,-2.3153509392E-08,0.037739563592,-2.8505818379E-07
250.0656447,-2.4423010599E-08,0.037735301923,-2.8692519952E-07
250.0660377,-2.322545458E-08,0.037731062289,-2.8446724265E-07
250.0664308,-2.4573248587E-08,0.037726844411,-2.8624445552E-07
250.0668239,-2.427722587E-08,0.037722648288,-2.8562532202E-07
250.067217,-2.4081195318E-08,0.037718473425,-2.8469629579E-07
250.0676101,-2.5126691117E-08,0.037714319836,-2.8620864021E-07
250.0680031,-2.4601831128E-08,0.037710187214,-2.8494301732E-07
250.0683962,-2.5106445166E-08,0.037706075396,-2.8549275435E-07
250.0687893,-2.5237304113E-08,0.037701984164,-2.8542076721E-07
250.0691824,-2.5328595869E-08,0.037697913335,-2.8524538561E-07
250.0695755,-2.5564597914E-08,0.037693862679,-2.8534546359E-07
250.0699686,-2.5693500555E-08,0.037689832051,-2.8526355962E-07
250.0703616,-2.5777417463E-08,0.037685821241,-2.8508671444E-07
250.0707547,-2.5975516998E-08,0.037681830069,-2.8514094633E-07
250.0711478,-2.6209497197E-08,0.037677858433,-2.8550446324E-07
250.0715409,-2.6130301703E-08,0.037673905902,-2.8479751868E-07
250.071934,-2.6271560145E-08,0.037669972556,-2.847676953E-07
250.072327,-2.6397063497E-08,0.037666058135,-2.8468812733E-07
250.0727201,-2.6444717185E-08,0.037662162461,-2.8449655002E-07
250.0731132,-2.6529141905E-08,0.037658285371,-2.8434054217E-07
250.0735063,-2.6600978947E-08,0.037654426689,-2.842168485E-07
250.0738994,-2.6653178436E-08,0.037650586257,-2.8400992461E-07
250.0742925,-2.6733853941E-08,0.037646763908,-2.8387185247E-07
250.0746847,-2.6705594746E-08,0.037642978655,-2.8359792984E-07
250.0750769,-2.6821935997E-08,0.037639195074,-2.8349671364E-07
