t	CL	CD	CM
1.2e-6	1.2588643840999996	7874.464667899998	0.7291438032799996
0.007008205805805806	-2.0104596897356683e-6	0.2554324462967279	-8.48129684951142e-7
0.014015211611611612	-1.7831634175702161e-6	0.186011253009585	-7.355377863570431e-7
0.021022217417417416	-1.7173142120169425e-6	0.1532361864945586	-7.135184735597166e-7
0.028029223223223224	-1.5973287160536995e-6	0.13320784701691418	-6.358328960707891e-7
0.03503622902902903	-1.5775859393985964e-6	0.11938712269590689	-6.237341891736615e-7
0.04204323483483483	-1.5521953229324197e-6	0.10913315104553474	-6.143298142249458e-7
0.04905024064064064	-1.466839848369836e-6	0.10114694481863078	-5.52245690366423e-7
0.05605724644644645	-1.4808616198250597e-6	0.09466478227064806	-5.643197603109375e-7
0.06306425225225225	-1.46796688538214e-6	0.08921840876030859	-5.54823597510453e-7
0.07007125805805806	-1.4497201963735147e-6	0.08456889106858764	-5.411721847861009e-7
0.07707826386386386	-1.430276417623007e-6	0.0805525501751198	-5.251344737643236e-7
0.08408526966966967	-1.4196251046802714e-6	0.07704151583390063	-5.157436738223086e-7
0.09109227547547548	-1.4092108241409633e-6	0.07394474741515074	-5.063531135833828e-7
0.09809928128128129	-1.3993368677049517e-6	0.07119181124927555	-4.977180096676644e-7
0.10510628708708708	-1.385968370030953e-6	0.06872606526502158	-4.865491860690273e-7
0.11211329289289289	-1.3742430344787887e-6	0.06650177017940744	-4.770741464125286e-7
0.1191202986986987	-1.3614154386128663e-6	0.06448374527668352	-4.669005573878425e-7
0.12612730450450452	-1.3454718963205683e-6	0.06264249198960167	-4.5533050857770895e-7
0.1331343103103103	-1.3532915280112935e-6	0.060956592727391214	-4.61520069585915e-7
0.1401413161161161	-1.3459635807148216e-6	0.05940566416383472	-4.5570031598773106e-7
0.14714832192192193	-1.336736414815375e-6	0.05797261477270906	-4.496679040448911e-7
0.15415532772772772	-1.3272144423400605e-6	0.05664610594597533	-4.4204246623902206e-7
0.16116233353353354	-1.311656390249948e-6	0.055413046116027834	-4.301370766957909e-7
0.16816933933933934	-1.3105180915608746e-6	0.054264392213549555	-4.3089436459017896e-7
0.17517634514514516	-1.289963265129158e-6	0.05319083440833245	-4.152987925591997e-7
0.18218335095095095	-1.294807953624679e-6	0.05218441300661702	-4.186093779904237e-7
0.18919035675675674	-1.2865100053185643e-6	0.05123800097326962	-4.1400152177499903e-7
0.19619736256256257	-1.2802371183660286e-6	0.05034671841768163	-4.104207956828548e-7
0.20320436836836836	-1.2683042727195395e-6	0.04950746209369442	-4.01927723182097e-7
0.21021137417417418	-1.2553799932528563e-6	0.04871377499012895	-3.937643150953195e-7
0.21721837997997998	-1.2385868949625517e-6	0.04796338907642597	-3.835899134272254e-7
0.2242253857857858	-1.2248522637391128e-6	0.047251909704947526	-3.7436986602038165e-7
0.2312323915915916	-1.1775091195049209e-6	0.04657607394880849	-3.415995859933922e-7
0.23823939739739738	-1.1422196463892535e-6	0.045933500941261945	-3.191265612558393e-7
0.2452464032032032	-1.1162343407519237e-6	0.045321631434624886	-3.027365722024374e-7
0.252253409009009	-1.0801679595490433e-6	0.04473832014078277	-2.8072233316742573e-7
0.2592604148148148	-1.0391800444497952e-6	0.044182514186733336	-2.557790549422232e-7
0.26626742062062064	-9.882115068417442e-7	0.04365133442363235	-2.2598685895017574e-7
0.2732744264264264	-9.369899096778581e-7	0.04314281874370042	-1.954732972725875e-7
0.28028143223223223	-8.762242005707183e-7	0.042654659626197834	-1.6047200604049781e-7
0.28728843803803805	-8.005591134689977e-7	0.042187883964102675	-1.1697676048547384e-7
0.2942954438438438	-7.459969613249796e-7	0.041739812774922364	-9.252625379747421e-8
0.30130244964964964	-6.600883207815036e-7	0.041309390424687065	-4.6508280527396725e-8
0.30830945545545546	-5.557317756165906e-7	0.04089501501678023	9.450498410341105e-9
0.3153164612612613	-4.3367372048590663e-7	0.04049613963483676	7.547500599257827e-8
0.32232346706706705	-2.9183482007009436e-7	0.0401142510964032	1.5169508345282097e-7
0.32933047287287287	-1.2551719813643096e-7	0.03974389641331613	2.4131835344196305e-7
0.3363374786786787	7.071891811389863e-8	0.039384643513415425	3.471665913484271e-7
0.34334448448448446	2.994370280689654e-7	0.03903617011776643	4.707647284773511e-7
0.3503514902902903	5.67989210158153e-7	0.03869813698675873	6.152119081541874e-7
0.3573584960960961	8.780118826102251e-7	0.038370198841462026	7.830196764757778e-7
0.3643655019019019	1.243827824031416e-6	0.038052006196229074	9.790595850587133e-7
0.3713725077077077	1.6710218874663576e-6	0.03774326162949207	1.2085846932010458e-6
0.3783795135135135	2.168038812212655e-6	0.03744352801092506	1.4754542458640173e-6
0.38538651931931933	2.74625632681543e-6	0.03715252865540089	1.785382037826481e-6
0.3923935251251251	3.4199712234100543e-6	0.03686993852698702	2.14596884357833e-6
0.3994005309309309	4.201991127865022e-6	0.036595446218724965	2.5632014752688413e-6
0.40640753673673674	5.117886454620705e-6	0.03632875152928935	3.0530913249606445e-6
0.41341454254254256	6.183556724494167e-6	0.03606956504093953	3.6220668201805903e-6
0.42042154834834833	7.425383290505043e-6	0.035817608328309936	4.283759411447582e-6
0.42742855415415415	8.8731295956595e-6	0.03557265050954945	5.055147673131225e-6
0.43443555995995997	1.0561957295839991e-5	0.035334363910713484	5.954411042873003e-6
0.4414425657657658	1.2531214410701554e-5	0.03510253978723235	7.001980626201974e-6
0.44844957157157156	1.482855640719e-5	0.03487694341503828	8.225166321332334e-6
0.4554565773773774	1.7506046443287846e-5	0.034657349513778184	9.648816555513501e-6
0.4624635831831832	2.0629490523257865e-5	0.03444354318364383	1.1309550290901615e-5
0.46947058898898897	2.42726622719198e-5	0.034235318393526476	1.3247104108993614e-5
0.4764775947947948	2.852143962541497e-5	0.034032507388557495	1.5506393908684164e-5
0.4834846006006006	3.347916655153551e-5	0.03383486205921677	1.8141897755991283e-5
0.49049160640640643	3.926185305047204e-5	0.033642232590340895	2.1215727638880836e-5
0.4974986122122122	4.6006777833305374e-5	0.033454439103544925	2.480119759742485e-5
0.504505618018018	5.387705501554802e-5	0.03327133712946397	2.898443486591551e-5
0.5115126238238238	6.305400498276265e-5	0.033093251966784615	3.386172309564089e-5
0.5185196296296296	7.375821020143966e-5	0.0329194656606771	3.95504686837371e-5
0.5255266354354354	8.624518263607087e-5	0.03274983860485298	4.618615559254733e-5
0.5325336412412413	0.00010080972588614487	0.03258425499244418	5.392529905332681e-5
0.5395406470470471	0.00011779711759941317	0.03242259263786564	6.295121532938974e-5
0.5465476528528529	0.00013761097279312663	0.0322647215902187	7.347814920544556e-5
0.5535546586586586	0.0001607220978257588	0.03211051627527708	8.575598846637064e-5
0.5605616644644644	0.00018768068324822394	0.03195985725800753	0.00010007676437112745
0.5675686702702702	0.0002191251099478601	0.031812642627731334	0.00011677926860176975
0.5745756760760761	0.000255798857131563	0.031668778865464854	0.0001362580894208643
0.5815826818818819	0.00029857230645960464	0.031528156408538226	0.0001589750999612126
0.5885896876876877	0.0003484656946762733	0.03139066323433873	0.00018547173896145942
0.5955966934934935	0.00040665830131766457	0.031256217956769014	0.0002163737865890847
0.6026036992992992	0.00047452484437484103	0.031124738333451526	0.0002524108634123451
0.6096107051051051	0.0005536783306115417	0.03099612621410599	0.0002944389810350316
0.6166177109109109	0.0006459630555239764	0.030870295436504804	0.0003434446127771566
0.6236247167167167	0.0007536301373068321	0.030747166393613686	0.0004006063417425524
0.6306317225225225	0.0008791878202767164	0.030626670922930345	0.0004672627342905298
0.6376387283283284	0.0010256130279386888	0.03050872905891318	0.0005449926589578929
0.6446457341341342	0.0011963821643161299	0.03039326308867526	0.0006356400807201205
0.6516527399399399	0.0013955323631777896	0.030280198510430595	0.0007413473123022482
0.6586597457457457	0.0016277729783131967	0.030169471617247104	0.0008646116083529397
0.6656667515515515	0.0018985652554452932	0.030061028091524635	0.0010083295812373001
0.6726737573573573	0.0022142982829558735	0.02995480350748899	0.0011758896373090396
0.6796807631631632	0.0025824449053564297	0.029850727309346528	0.001371254453552452
0.686687768968969	0.0030116347871833866	0.02974874860342648	0.0015990107829550336
0.6936947747747748	0.0035119815926762036	0.029648816383349576	0.001864498742803387
0.7007017805805806	0.0040951848137854895	0.029550877918903682	0.002173932770900095
0.7077087863863863	0.0047748892966011985	0.029454878308001576	0.002534559299076231
0.7147157921921922	0.005567040515084166	0.029360763242203276	0.0029548161819782414
0.721722797997998	0.006490117163666183	0.02926848883128353	0.0034444900084672253
0.7287298038038038	0.007565528324590868	0.029178019465331235	0.004014918881075888
0.7357368096096096	0.008818044671545799	0.029089308025206814	0.004679236019231488
0.7427438154154155	0.010276565190038115	0.029002316860055707	0.005452748047189872
0.7497508212212213	0.011974761131206085	0.028916999786930915	0.0063532509704720104
0.756757827027027	0.013950729215476208	0.028833403605768408	0.0074009928459476465
0.7637648328328328	0.016249335643147043	0.02875141408161384	0.0086196557076526
0.7707718386386386	0.018922246102564728	0.02867103991273164	0.010036588194317731
0.7777788444444445	0.022028889849441555	0.02859228636415618	0.01168321325987409
0.7847858502502503	0.025637096233044093	0.028515154790014128	0.013595379515774046
0.7917928560560561	0.029824763568806343	0.02843967572388037	0.01581423989377381
0.7987998618618619	0.034681163478519475	0.028365883773953764	0.01838691866813559
0.8058068676676676	0.04030795689835312	0.02829384590096752	0.02136703609802495
0.8128138734734734	0.046820349131094036	0.02822366609778762	0.02481529868533282
0.8198208792792793	0.05434755180401532	0.028155502247263126	0.02879971233149215
0.8268278850850851	0.06303387503490049	0.028089574759369573	0.033396121226889286
0.8338348908908909	0.07304086271136183	0.02802617548076197	0.038689284009222204
0.8408418966966967	0.08454722696578962	0.027965709247980395	0.044772791082023616
0.8478489025025026	0.09773256839437497	0.027908629276135643	0.05174006644195277
0.8548559083083083	0.11283040961315877	0.02785525278332568	0.0597132001139579
0.8618629141141141	0.1300406893790523	0.027807082898765833	0.0687953873720656
0.8688699199199199	0.149595057099071	0.027765307679600514	0.07910599644861946
0.8758769257257257	0.17171232492168614	0.027731513855814426	0.09075657612747216
0.8828839315315316	0.19661331916634284	0.027707690964308834	0.10385844982303209
0.8898909373373374	0.22448247234059113	0.02769636302655592	0.11850216308769455
0.8968979431431432	0.25547462032114576	0.02770059498004786	0.13476033074070887
0.9039049489489489	0.28965585228750623	0.02772399901379718	0.1526574699516559
0.9109119547547547	0.32710082473954466	0.02777088078963021	0.17221852236530794
0.9179189605605605	0.36767844561279794	0.027847053697633024	0.193358242928537
0.9249259663663664	0.4111590853833146	0.027958466022741765	0.21593573567006022
0.9319329721721722	0.45716653166225085	0.028111665671754146	0.23972957569603442
0.938939977977978	0.5050194709258097	0.02831313254959167	0.26435388048699543
0.9459469837837838	0.5542143048242237	0.028568990019362694	0.28951449924284633
0.9529539895895895	0.6036885009056502	0.028886190133229774	0.3146214263950374
0.9599609953953954	0.6523207251386925	0.029269922882128197	0.3390447064770339
0.9669680012012012	0.6989922952249409	0.029722604439821262	0.36218081686342957
0.973975007007007	0.7422714192539279	0.03024226313350214	0.3832695548010939
0.9809820128128128	0.7815402106411312	0.03082391567762266	0.401958491658666
0.9879890186186187	0.8154438802066264	0.03146133060256856	0.41754502379504366
0.9949960244244245	0.8425350056545571	0.03213963657583319	0.4293192412768343
1.0020030302302303	0.863817139826069	0.03284150311430592	0.4377297349966861
1.0090100360360361	0.8777421939365211	0.03355832741591871	0.4421057918322842
1.016017041841842	0.8849896941221816	0.03426740680942252	0.4427919579089926
1.0230240476476475	0.8859406746648317	0.0349516704351629	0.4400505678285453
1.0300310534534534	0.8812992228160108	0.035597879989124656	0.43430684472570374
1.0370380592592592	0.871918105480476	0.036197493843925836	0.42605688696726596
1.044045065065065	0.8588012388260667	0.036742969122955264	0.41588610697429457
1.0510520708708708	0.8429789637741795	0.03723154418693727	0.4043870206450532
1.0580590766766766	0.8253811312333376	0.03766672760937762	0.3920716265095654
