t	CL	CD	CM
1.2e-6	1.1015531511999999	7874.464667899997	0.45212788325999975
0.007008205805805806	-1.986610064105508e-6	0.255432446285381	-3.44416084863002e-7
0.014015211611611612	-1.7654701910362977e-6	0.18601125283858563	-2.8497417983671244e-7
0.021022217417417416	-1.7057699893675281e-6	0.15323618651556017	-2.7946334476787856e-7
0.028029223223223224	-1.5896936638825094e-6	0.13320784724432966	-2.3260835213111797e-7
0.03503622902902903	-1.5672688768269477e-6	0.11938712189296229	-2.28560322240525e-7
0.04204323483483483	-1.5421798024479399e-6	0.10913315159059496	-2.214533730842902e-7
0.04905024064064064	-1.4664088931585066e-6	0.10114694490243362	-1.8471896887227677e-7
0.05605724644644645	-1.4777441294188598e-6	0.09466478239097673	-1.918199337935529e-7
0.06306425225225225	-1.4678545014776817e-6	0.08921840892771939	-1.8644975497273273e-7
0.07007125805805806	-1.44994887179177e-6	0.08456889113643376	-1.779402728210732e-7
0.07707826386386386	-1.4350033085645218e-6	0.08055255053294244	-1.6790304040389657e-7
0.08408526966966967	-1.4239938791993087e-6	0.07704151618114911	-1.61460039856378e-7
0.09109227547547548	-1.4108496617158667e-6	0.07394474754970497	-1.5376962380224596e-7
0.09809928128128129	-1.3993358587185875e-6	0.07119181132578116	-1.4712339620421244e-7
0.10510628708708708	-1.387267136309971e-6	0.0687260653712418	-1.3984457047161185e-7
0.11211329289289289	-1.3762824344565197e-6	0.06650177044318027	-1.3313872624882884e-7
0.1191202986986987	-1.3651629779079165e-6	0.06448374542862086	-1.2751359300360187e-7
0.12612730450450452	-1.346106715987468e-6	0.0626424919297807	-1.1900396341800758e-7
0.1331343103103103	-1.3550677353424164e-6	0.06095659287705186	-1.2304811854179206e-7
0.1401413161161161	-1.347189559738948e-6	0.059405664132838834	-1.1938319717063945e-7
0.14714832192192193	-1.3388921244632455e-6	0.05797261501523962	-1.1503261080120883e-7
0.15415532772772772	-1.3292723014407556e-6	0.056646106108371334	-1.0984058448199519e-7
0.16116233353353354	-1.310085057987372e-6	0.0554130459451663	-1.0041268725866933e-7
0.16816933933933934	-1.3092852976535848e-6	0.054264392000963564	-1.0114438324282535e-7
0.17517634514514516	-1.2908535327368058e-6	0.05319083450600738	-9.10888183257404e-8
0.18218335095095095	-1.2915660607881963e-6	0.05218441292483925	-9.163373466697493e-8
0.18919035675675674	-1.2869353534232367e-6	0.05123800072381264	-8.98756323910679e-8
0.19619736256256257	-1.2796727100774653e-6	0.050346718246147656	-8.691176185213858e-8
0.20320436836836836	-1.2670260974493864e-6	0.04950746205579806	-8.087407793514869e-8
0.21021137417417418	-1.250364229591424e-6	0.04871377488536841	-7.361592356285592e-8
0.21721837997997998	-1.238874149389854e-6	0.04796338917899904	-6.857355909385885e-8
0.2242253857857858	-1.222096903050704e-6	0.04725190940585613	-6.198057359485318e-8
0.2312323915915916	-1.1777794324653742e-6	0.04657607395616464	-3.983309559880723e-8
0.23823939739739738	-1.1460938981901975e-6	0.04593350125117567	-2.602250800782496e-8
0.2452464032032032	-1.1140323371051832e-6	0.04532163134799751	-1.4050970499445283e-8
0.252253409009009	-1.0788210476101002e-6	0.04473831999755296	2.9066985158846713e-10
0.2592604148148148	-1.0389746254419664e-6	0.044182514016508606	1.6212149917440815e-8
0.26626742062062064	-9.929259340968693e-7	0.043651334709945096	3.482061621485368e-8
0.2732744264264264	-9.371554684448829e-7	0.04314281849469074	5.4843994601255415e-8
0.28028143223223223	-8.773914726749959e-7	0.04265465951723011	7.742726476701783e-8
0.28728843803803805	-8.020450797835154e-7	0.0421878847471259	1.0492551449883649e-7
0.2942954438438438	-7.511600188052058e-7	0.04173981278874208	1.1950241810888655e-7
0.30130244964964964	-6.65584593290557e-7	0.04130939036738884	1.48321511412921e-7
0.30830945545545546	-5.596565263096639e-7	0.040895014898234494	1.8400911192131667e-7
0.3153164612612613	-4.3738235222432606e-7	0.040496139432879684	2.255710963416233e-7
0.32232346706706705	-2.9465448872882805e-7	0.04011425101429385	2.7417568968445764e-7
0.32933047287287287	-1.2759092647873968e-7	0.039743896338396464	3.311917305634957e-7
0.3363374786786787	6.912859073822418e-8	0.03938464327331374	3.9775304365348454e-7
0.34334448448448446	2.96823904873778e-7	0.03903616987213791	4.7507158426960954e-7
0.3503514902902903	5.623299318097292e-7	0.038698137205829576	5.655095387465303e-7
0.3573584960960961	8.75126339256668e-7	0.03837019825985267	6.706365627012566e-7
0.3643655019019019	1.2377736187883614e-6	0.038052005857142246	7.928057951459029e-7
0.3713725077077077	1.6600317796095499e-6	0.03774326165693287	9.350707336586202e-7
0.3783795135135135	2.150911404639352e-6	0.037443528120155486	1.0997144507262612e-6
0.38538651931931933	2.722874178035687e-6	0.037152528695121576	1.290921973383163e-6
0.3923935251251251	3.389892825235832e-6	0.036869938529982764	1.5137966934276288e-6
0.3994005309309309	4.164421905770564e-6	0.03659544617221783	1.7714216101644535e-6
0.40640753673673674	5.068479891419532e-6	0.03632875151686891	2.0728341599955363e-6
0.41341454254254256	6.12268931859363e-6	0.03606956494139833	2.422956498370328e-6
0.42042154834834833	7.351566956221678e-6	0.03581760823816111	2.83094909194528e-6
0.42742855415415415	8.783652011348651e-6	0.03557265038185229	3.305935096637707e-6
0.43443555995995997	1.045356562039381e-5	0.035334363859033935	3.859826101378669e-6
0.4414425657657658	1.2400871160409776e-5	0.035102539832968196	4.5044091267146975e-6
0.44844957157157156	1.4673236430368722e-5	0.03487694341499507	5.256974348194002e-6
0.4554565773773774	1.7321784573552213e-5	0.03465734953952536	6.133347372878477e-6
0.4624635831831832	2.041081681039435e-5	0.03444354323653219	7.155575256575494e-6
0.46947058898898897	2.4013597110380955e-5	0.034235318430029506	8.347943217553504e-6
0.4764775947947948	2.8215735477498636e-5	0.03403250735975483	9.738065654033165e-6
0.4834846006006006	3.311890278693832e-5	0.033834861972818486	1.1359434734867052e-5
0.49049160640640643	3.883717009796044e-5	0.03364223259910866	1.3250883698492012e-5
0.4974986122122122	4.550732171683899e-5	0.03345443914137415	1.54570928533078e-5
0.504505618018018	5.329008769909794e-5	0.03327133720522439	1.8030804923216115e-5
0.5115126238238238	6.236425948510112e-5	0.03309325211087322	2.1031378247645206e-5
0.5185196296296296	7.29494698800898e-5	0.03291946582444308	2.45310608989431e-5
0.5255266354354354	8.529619908896492e-5	0.032749838810576894	2.8612871657146205e-5
